unique_id,type,group1_id,group2_id,date,description,group1_name,group2_name
1633,riv,61,113,2/18/10,"Hizbul Islam fighters attacked the Somali border town of Dhobley, successfully ousting Al Shabaab fighters and gaining control of the town. ",Al Shabaab,Hizbul Islam 
1635,all,61,113,2/22/09,"Hizbul Islam and Al Shabaab conducted a joint attack on African Union (AU) peacekeepers, using two suicide bombers against an AU base in Mogadishu.",Al Shabaab,Hizbul Islam 
1475,all,5,3,2005-00-00,"Although the Mujahideen Army and the Islamic Army in Iraq (IAI) had worked together since 2004, they did not officially announce their operational cooperation until 2005.",Islamic Army in Iraq,Mujahideen Army
1311,all,75,1,2014-02-00,"Despite their ideological differences, the JRTN and IS worked together to capture Fallujah in February 2014. Subsequently, the JRTN played a critical role in IS's conquest of Mosul on June 10, 2014.",Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,The Islamic State
1483,riv,13,1,2014-05-00,AI publically declared war on IS in May 2014.  Throughout May the two groups purportedly clashed around the city of Baquba just north of Baghdad.,Ansar al-Islam,The Islamic State
1481,all,13,1,11/25/12,"AI claimed responsibility for the suicide bombing of a Shiite militia camp in the town of Rabia, Iraq. In a statement released shortly after the attack, AI claimed that the Islamic State in Iraq (ISI), the successor of AQI and predecessor to IS, had participated in the operation. ",Ansar al-Islam,The Islamic State
287,riv,1,9,2007-02-00,"In 2007 1920s RB leader Harith al-Dari was killed in a AQI suicide bombing and AQI carried out a large-scale chemical weapons attack in Fallujah.  Outraged by these events, the 1920s Brigades shifted its focus from fighting U.S. forces to fighting AQI.",The Islamic State,1920s Revolution Brigades
289,mer,23,19,1/20/09,"Al-Qaeda in Yemen merged with Al Qaeda-affiliated Saudi militants. In February 22, 2009 al-Qaeda's deputy leader Ayman al-Zawahiri released a statement recognizing the consolidation.",Al Qaeda in Yemen,Al Qaeda in the Arabian Peninsula
1471,all,361,143,2007-00-00,"AAH and KH have been allied since their inception.  Both groups are funded by the Iranian government through the Quds Force, are under the supervision of Qasem Soleimani (the commander of the Quds Force), and have cooperated militarily on several occasions.  The AAH and KH are the two most powerful 'Special Groups,' the U.S. name for Iraqi Shiite groups affiliated with the Iranian government.",Kata'ib Hezbollah,Asa'ib Ahl al-Haq
19,mer,1,15,1/1/06,"AQI forms the Mujahidin Shura Council (MSC), an umbrella organization to represent Iraq\&#039;s jihadist groups.  Several smaller Iraqi jihadist groups join the council, like the Victorious Sect Group.  AQI announces some unknown groups as members of the MSC, likely to create a perception broad membership within the MSC; the move raised doubts as to the council\&#039;s legitimacy as anything other than an AQI front.",The Islamic State,Small Groups in Iraq
1439,all,5,1,6/10/14,The IAI fought with IS to take Mosul in June 2014.,Islamic Army in Iraq,The Islamic State
1441,riv,75,143,4/17/15,Asa'ib Ahl al-Haq claimed responsibility for killing JRTN leader Izzat Ibrihim al-Douri in the mountains in between Kirkuk and Tikrit.,Jaysh Rijal al-Tariqa al-Naqshbandia (JRTN) ,Asa'ib Ahl al-Haq
23,mer,1,15,10/1/06,"In October 2006, under new leadership after al-Zarqawi\&#039;s June death, AQI announces the formation of the Islamic State of Iraq, declaring sovereignty in Iraq.  The ISI incorporates MSC groups, among others, that have agreed to merge under the banner of the ISI; AQI is said to be the ISI\&#039;s military wing, though the ISI is largely AQI in new, state-like, wrapping.",The Islamic State,Small Groups in Iraq
1639,riv,99,109,1991-00-00,"ASWJ formed in response to AIAI and other anti-Sufi militant groups. Initially, ASWJ relied on non-violent tactics such as preaching and community organizing to oppose groups like AIAI. Later, ASWJ took up arms against those organizations.",Al Ittihad Al Islamiya,Ahlu Sunna Wal Jama
303,all,1,13,2003-00-00,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies.",The Islamic State,Ansar al-Islam
301,riv,17,81,1/1/07,Former Fatah al-Islam leader Al Abssi attacked Hezbollah for relinquishing the fight against Israel and merely focusing on controlling Lebanon.Â Fatah al-Islam saw Hezbollahâs aggressive campaigns as a threat to Sunni control in Lebanon.,Fatah al-Islam,Hezbollah
41,spl,13,11,1/1/07,"Several members of Ansar al-Sunna split from the main group to align with the Islamic Army of Iraq and Mujahideen Army, both groups with that advocate a nationalist-jihadist agenda.",Ansar al-Islam,Ansar al-Sunna Shariah
309,spl,9,29,2007-04-00,"Following the assassination of 1920s RB leader Harith al-Dari by AQI operatives in early March 2007, two factions arose within the 1920s RB that differed in their visions for the organization's relations with AQI.  While one faction wanted to directly confront AQI, the other preferred to continue armed opposition to the U.S. and take a more rhetorical approach to opposing AQI. This latter faction broke away in late March/early April 2007 and renamed itself Hamas Iraq.",1920s Revolution Brigades,Hamas Iraq
1351,spl,585,583,2001-01-00,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,The Kurdistan Islamic Group
1353,mer,31,593,2001-09-00,The Al-Tawhid Islamic Front and the Second Soran Unit merged in September 2001 to form Jund al-Islam.,Second Soran Unit,Jund al-Islam
311,riv,1,29,2007-10-00,Hamas Iraq allegedly worked with U.S. forces and the U.S.-funded Sons of Iraq in their 2007-2008 offensive against AQI in the Diyala province.,The Islamic State,Hamas Iraq
293,aff,21,19,2009-00-00,The merger of AQY and Saudi members of Al Qaeda into AQAP was acknowledged and condoned by AQ's central leadership.  AQAP has remained loyal to AQ central leadership and remains an affiliate of the larger Al Qaeda network.,Al Qaeda,Al Qaeda in the Arabian Peninsula
297,all,1,23,10/1/03,AQY-associated militants traveled to Iraq to assist AQI in its fight against the U.S.-coalition forces. ,The Islamic State,Al Qaeda in Yemen
1851,riv,651,533,2016-04-00,"Faylaq al-Rahman began fighting Jaysh al-Islam after Jaysh al-Islam allegedly attempted to assassinate a member of the Unified Judiciary Council, the court system that settles disputes between militant groups and between civilians in the Damascus governorate.",Faylaq al-Rahman,Jaysh al-Islam
299,aff,17,21,11/1/06,"The connection between Fatah al-Islam and AQ stems from the groupâs first leader and founder, Shaker Al Abssi. Abssi had previously conspired with Abu Masab Al-Zarqawi (former AQI leader).  A statement was released online by Global lslamic Media Front on behalf of Al-Qaeda leadership calling for âevery Muslimâ to support Fatah al-Islam in confronting Israel as part of their religious obligation.",Fatah al-Islam,Al Qaeda
1339,spl,585,577,2001-01-00,,The Islamic Unity Movement of Kurdistan,The Reformist Group
1341,spl,585,573,2001-01-00,,The Islamic Unity Movement of Kurdistan,Kurdish Hamas
1343,spl,585,573,2001-01-00,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,Kurdish Hamas
267,riv,3,1,2008-00-00,An AQI leader accused the MA of instructing its members to kill AQI operatives and of joining the U.S.-aligned Awakening Councils that were fighting AQI.,Mujahideen Army,The Islamic State
263,all,13,21,1/1/02,Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.,Ansar al-Islam,Al Qaeda
265,aff,1,21,2004-10-00,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English.",The Islamic State,Al Qaeda
119,mer,79,87,1/1/95,"Fatah Hawks were disbanded under the Oslo accords in 1995, Tanzim replaced them",Lashkar-e-Taiba,National Liberation Army (Colombia)
329,all,141,109,2/1/10,"February 2010 ASWJ signed an alliance agreement with the TFG, however clear dissonance emerged.",Transitional Federal Government ,Ahlu Sunna Wal Jama
661,aff,89,87,1967-00-00,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
1637,riv,61,489,10/20/11,"Assisted by Kenyan forces, the Ras Kamboni Movement captured the town of Ras Kamboni in southern Somalia, driving Al Shabaab from the area.",Al Shabaab,Ras Kamboni Movement 
259,spl,25,31,1998-00-00,The SSU split from the IMK in 1998 under the leadership of Aso Hawleri in response to the IMKs 1997 truce with the Patriotic Union of Kurdistan (PUK) and the SSUs perception that Iranian influence over the IMK leadership was increasing,Islamic Movement of Kurdistan,Second Soran Unit
1459,mer,573,27,2001-06-00,Kurdish Hamas and Tawhid merged in summer 2001 to form the Al-Tawhid Islamic Front.,Kurdish Hamas,Al-Tawhid Islamic Front
1395,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan
1485,mer,13,1,8/29/14,"On August 29, 2014, 50 of AIs top leaders declared their allegiance to IS and officially merged AI into IS.  AIs Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AIs sudden decision to switch from actively opposing IS to joining its ranks.",Ansar al-Islam,The Islamic State
271,all,81,57,4/1/03,"The Mahdi Army has been tied to Hezbollah since its inception. In April 2003, the initial members of the Army were trained by small Hezbollah groups inside Iraq.",Hezbollah,Mahdi Army
1397,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan
253,spl,67,69,9/14/98,Members of the GIA who disagreed with the group\'s targeting of Algerian civilians decided to split and form the Salafist Group for Preaching and Combat (GSPC),Armed Islamic Group of Algeria,Salafist Group for Preaching and Combat
255,mer,69,65,9/11/06,The GSPC merges with Al Qaeda Central to form Al Qaeda in the Islamic Maghreb. The group retains its leadership.,Salafist Group for Preaching and Combat,Al Qaeda in the Islamic Maghreb
1399,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan
341,riv,57,1,6/8/07,"Following the Mahdi Army's campaign to take control of the west bank of the Tigris, AQI issued a statement calling for all Sunnis to help fight against the Mahdi Army.",Mahdi Army,The Islamic State
1615,spl,107,61,2006-12-00,"Al Shabaab, which had served as the main militant wing of the Islamic Courts Union (ICU), became an independent group as the ICU began to collapse.",Islamic Courts Union,Al Shabaab
1617,all,61,487,8/20/08,The Ras Kamboni Brigade and Al Shabaab conducted a joint attack on the Somali city of Kismayo.,Al Shabaab,Ras Kamboni Brigade
343,aff,145,117,4/1/00,UTN and ART are affiliates. UTN\'s declared goal was reconstruction of Afghanistan for which ART was to provide the group with funds.,Ummah Tamir-e-Nau,Al Rashid Trust
349,aff,117,79,2/1/97,ART and LeT affiliates. ,Al Rashid Trust,Lashkar-e-Taiba
347,all,117,21,2/1/96,ART and AQ allies. ART publicly became associated with Al Qaeda when it started using a British internet site called the Global Jihad Fund (which openly associated itself with Osama bin Laden) to solicit support for various jihad movements.  ,Al Rashid Trust,Al Qaeda
351,aff,117,95,4/1/00,ART and JeM affiliates. ART and JeM are reported to have shared office spaces across Pakistan and to have had overlapping membership support.,Al Rashid Trust,Jaish-e-Mohammad
353,mer,117,111,2001-00-00,ART merges into AKT,Al Rashid Trust,Al Akhtar Trust
355,all,111,95,2001-00-00,"AKT and JeM allies. AKT has had an alliance with JeM because of overlapping leaderships. Maulana Masood Azhar, leader of JeM, played a role in the formation of AKT.",Al Akhtar Trust,Jaish-e-Mohammad
357,all,117,95,8/1/00,ART has had an alliance with JeM because of overlapping leaderships. ,Al Rashid Trust,Jaish-e-Mohammad
359,all,95,79,11/1/00,LeT and JeM were allies in operations across the Line of Control against Indian targets. ,Jaish-e-Mohammad,Lashkar-e-Taiba
361,all,21,79,1990-00-00,"LeT has had an affiliation with Al Qaeda and its forerunner, Maktab al Khidmat, since 1990s. LeT\'s alliance with AQ was reconfirmed in 2002, when senior Al Qaeda leader Abu Zubaydah was arrested from an LeT safehouse in Faisalabad.",Al Qaeda,Lashkar-e-Taiba
363,riv,79,95,2004-00-00,LeT and JeM developed a rivalry after ISI cracked down on JeM in 2004 in the aftermath of the attack on President of Pakistan. LeT continued to receive ISI\'s support.,Lashkar-e-Taiba,Jaish-e-Mohammad
365,all,21,105,2/1/08,AQ and TTP have cooperated against a whole range of targets in Pakistan. TTP has also provided shelter to the leadership of AQ in the tribal areas.,Al Qaeda,Tehrik-i-Taliban Pakistan
367,riv,79,105,5/1/08,"LeT is close to the ISI and has been protected by the intelligence agency, but TTP has been actively targeted by the Pakistani state.",Lashkar-e-Taiba,Tehrik-i-Taliban Pakistan
371,all,79,217,1/1/90,LeT and HuJI were allied in operations across Line of Control against Indian targets.,Lashkar-e-Taiba,Harkat-ul-Jihadi al-Islami
373,all,79,219,3/1/90,"LeT and HuM, under ISI\'s supervision, have cooperated with each other against Indian targets in Kashmir.",Lashkar-e-Taiba,Harakat-ul-Mujahedeen
375,riv,105,219,4/1/08,HuM and TTP are rivals because of HuM\'s close relationship with the ISI.,Tehrik-i-Taliban Pakistan,Harakat-ul-Mujahedeen
377,all,217,105,1/1/08,HuJI and TTP are allies because of a shared ideology and common set of targets. HuJI leader Ilyas Kashmiri has spearheaded some of TTP\'s operations using resources of both TTP and HuJI.,Harkat-ul-Jihadi al-Islami,Tehrik-i-Taliban Pakistan
379,aff,117,215,6/1/96,ART has been a source of funding for LeJ.,Al Rashid Trust,Lashkar-e-Jhangvi
381,all,79,223,1994-00-00,LeT and HM have both received the assistance of ISI in carrying out operations across the Line of Control.,Lashkar-e-Taiba,Hizb-ul-Mujahideen
383,aff,79,217,6/1/00,"Saifullah Akhtar, leader of HuJI, and Hafiz Saeed, leader of LeT, have provided resources for each other\'s operations.",Lashkar-e-Taiba,Harkat-ul-Jihadi al-Islami
387,all,221,79,1/1/02,Jamaat-ud-Dawa is a front of LeT and came into being in 2002 to protect LeT.,Jamaat-ud-Dawa,Lashkar-e-Taiba
389,aff,111,223,1/1/03,ART and HuM have cooperated in operations against Indian targets in Kashmir.,Al Akhtar Trust,Hizb-ul-Mujahideen
391,aff,111,219,6/1/02,AKT and HuM are affiliates with AKT providing financial resources to HuM.,Al Akhtar Trust,Harakat-ul-Mujahedeen
489,spl,317,315,1974-00-00,The Irish National Liberation Army (INLA) split from the Official Irish Republican Army (OIRA). INLA was made up of hardliners opposed to OIRA\'s declaration of a ceasefire in the wake of a bombing in England that mistakenly killed civilians and a priest. ,Official Irish Republican Army,Irish National Liberation Army
487,all,105,215,2009-06-00,Pakistan\'s Ministry of Interior reported LeJ\'s alliance with TTP in 2009.,Tehrik-i-Taliban Pakistan,Lashkar-e-Jhangvi
397,spl,217,219,1985-00-00,HuM splinters from HuJI to fight a jihad against Soviet Communist presence in Afghanistan.,Harkat-ul-Jihadi al-Islami,Harakat-ul-Mujahedeen
405,all,247,77,1976-00-00,"Armed Proletarian Nuclei (NAP) collaborated in Naples with the Red Brigades (BR), which otherwise had little presence in Southern Italy.",Armed Proletarian Nuclei,Red Brigades
407,spl,77,233,1981-10-00,"The Red Brigades Fighting Communist Party (BR-PCC) split from the Red Brigades (BR), forming the militant core of the organization as other groups continued to split from the main branch.",Red Brigades,Red Brigades Fighting Communist Party
409,spl,77,234,1981-08-00,"The Red Brigades Guerrilla Party (BR-PG), composed mainly of the Naples wing of the Red Brigades, split from the Red Brigades (BR), arguing that the core organization was too focused on militancy. ",Red Brigades,Red Brigades Guerrilla Party
411,spl,77,235,1980-06-00,"The Red Brigades Walter Alasia Column (BR-WA), the Milan branch of the Red Brigades (BR), split from the Red Brigades (BR) over ideological and personal disputes with the central leadership. The BR-WA argued that the BR had lost touch with the working class.",Red Brigades,Red Brigades Walter Alasia
413,spl,233,241,1985-05-00,"The Union of Communist Combatants (UdCC) split from the Red Brigades Fighting Communist Party (BR-PCC) over ideological differences, with the UdCC embracing what it called a ‘second position.’ ",Red Brigades Fighting Communist Party,Union of Communist Combatants
415,aff,230,231,1969-00-00,The October 22 Circle received financial and logistical support from the better-financed Partisan Action Groups (GAP). The October 22 Circle may have served as the Genovese branch of GAP; some scholars treat the two groups interchangeably.,October 22 Circle,Partisan Action Groups
417,mer,230,231,1971-00-00,Partisan Action Groups (GAP) absorbed the October 22 Circle\'s remaining membership after most of the October 22 Circle\'s members were arrested.,October 22 Circle,Partisan Action Groups
